exchange,exchange_token,trading_symbol,groww_symbol,company_name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,25,ADANIENT,NSE-ADANIENT,Adani Enterprises,EQ,CASH,EQ,INE423A01024,,,,,1,0.1,,,1,1,ADANIENT-EQ,1
NSE,5578,ACUTAAS,NSE-ACUTAAS,Acutaas Chemicals,EQ,CASH,EQ,INE00FF01025,,,,,1,0.1,,,1,1,ACUTAAS-EQ,1
NSE,625,ABREL,NSE-ABREL,Aditya Birla Real,EQ,CASH,EQ,INE055A01016,,,,,1,0.1,,,1,1,ABREL-EQ,1
NSE,4953,ADROITINFO,NSE-ADROITINFO,Adroit Infotech,EQ,CASH,EQ,INE737B01033,,,,,1,0.01,,,1,1,ADROITINFO-EQ,0
NSE,7053,ACCELYA,NSE-ACCELYA,Accelya Solutions,EQ,CASH,EQ,INE793A01012,,,,,1,0.1,,,1,1,ACCELYA-EQ,1
NSE,759769,ADVENTHTL,NSE-ADVENTHTL,Advent Hotels Inter.,EQ,CASH,EQ,INE28GN01010,,,,,1,0.01,,,1,1,ADVENTHTL-EQ,1
NSE,21614,ABCAPITAL,NSE-ABCAPITAL,Aditya Birla Cap,EQ,CASH,EQ,INE674K01013,,,,,1,0.05,,,1,1,ABCAPITAL-EQ,1
NSE,17145,AARTECH,NSE-AARTECH,Aartech Solonics,EQ,CASH,EQ,INE01C001026,,,,,1,0.01,,,1,1,AARTECH-EQ,0
NSE,10217,ADANIENSOL,NSE-ADANIENSOL,Adani Energy Solut.,EQ,CASH,EQ,INE931S01010,,,,,1,0.1,,,1,1,ADANIENSOL-EQ,1
NSE,40,AEGISLOG,NSE-AEGISLOG,Aegis Logistics,EQ,CASH,EQ,INE208C01025,,,,,1,0.05,,,1,1,AEGISLOG-EQ,1
NSE,17903,ABBOTINDIA,NSE-ABBOTINDIA,Abbott India,EQ,CASH,EQ,INE358A01014,,,,,1,5.0,,,1,1,ABBOTINDIA-EQ,1
NSE,15083,ADANIPORTS,NSE-ADANIPORTS,Adani Ports &Special,EQ,CASH,EQ,INE742F01042,,,,,1,0.1,,,1,1,ADANIPORTS-EQ,1
NSE,5385,AAVAS,NSE-AAVAS,Aavas Financiers,EQ,CASH,EQ,INE216P01012,,,,,1,0.1,,,1,1,AAVAS-EQ,1
NSE,6018,ABSLAMC,NSE-ABSLAMC,Aditya Birla Sun AMC,EQ,CASH,EQ,INE404A01024,,,,,1,0.1,,,1,1,ABSLAMC-EQ,1
NSE,27020,ABINFRA,NSE-ABINFRA,AB Infrabuild,EQ,CASH,EQ,INE00YB01025,,,,,1,0.01,,,1,1,ABINFRA-EQ,1
NSE,245,ADL,NSE-ADL,Archidply Decor,EQ,CASH,EQ,INE0CHO01012,,,,,1,0.01,,,1,1,ADL-EQ,0
NSE,3563,ADANIGREEN,NSE-ADANIGREEN,Adani Green Energy,EQ,CASH,EQ,INE364U01010,,,,,1,0.1,,,1,1,ADANIGREEN-EQ,1
NSE,761330,AEPL,NSE-AEPL,Artemis Electricals,EQ,CASH,EQ,INE757T01025,,,,,1,0.01,,,1,1,AEPL-EQ,0
NSE,759130,ABCOTS,NSE-ABCOTS,AB Cotspin India,EQ,CASH,EQ,INE08PH01015,,,,,1,0.01,,,1,1,ABCOTS-EQ,1
NSE,4481,AARTIDRUGS,NSE-AARTIDRUGS,Aarti Drugs,EQ,CASH,EQ,INE767A01016,,,,,1,0.05,,,1,1,AARTIDRUGS-EQ,1
NSE,19761,ADFFOODS,NSE-ADFFOODS,ADF Foods,EQ,CASH,EQ,INE982B01027,,,,,1,0.05,,,1,1,ADFFOODS-EQ,1
NSE,760657,ADVAIT,NSE-ADVAIT,Advait Energy,EQ,CASH,EQ,INE0ALI01010,,,,,1,0.1,,,1,1,ADVAIT-EQ,1
NSE,13587,ACE,NSE-ACE,Action Const Equip,EQ,CASH,EQ,INE731H01025,,,,,1,0.05,,,1,1,ACE-EQ,1
NSE,11779,ACEINTEG,NSE-ACEINTEG,Ace Integrated Soln,EQ,CASH,EQ,INE543V01017,,,,,1,0.01,,,1,1,ACEINTEG-EQ,0
NSE,11703,ALKEM,NSE-ALKEM,Alkem Laboratories,EQ,CASH,EQ,INE540L01014,,,,,1,0.5,,,1,1,ALKEM-EQ,1
NSE,13288,AFSL,NSE-AFSL,Abans Financial Services Limited,EQ,CASH,EQ,INE00ZE01026,,,,,1,0.01,,,1,1,AFSL-EQ,0
NSE,19867,AMNPLST,NSE-AMNPLST,Amines & Plasticizers,EQ,CASH,EQ,INE275D01022,,,,,1,0.01,,,1,1,AMNPLST-EQ,0
NSE,1185,AMBER,NSE-AMBER,Amber Enterprises,EQ,CASH,EQ,INE371P01015,,,,,1,0.5,,,1,1,AMBER-EQ,1
NSE,13510,AKASH,NSE-AKASH,Akash Infra-Projects,EQ,CASH,EQ,INE737W01013,,,,,1,0.01,,,1,1,AKASH-EQ,0
NSE,14848,ALPA,NSE-ALPA,Alpa Laboratories,EQ,CASH,EQ,INE385I01010,,,,,1,0.01,,,1,1,ALPA-EQ,0
NSE,9897,AIRAN,NSE-AIRAN,Airan,EQ,CASH,EQ,INE645W01026,,,,,1,0.01,,,1,1,AIRAN-EQ,0
NSE,17256,ALBERTDAVD,NSE-ALBERTDAVD,Albert David,EQ,CASH,EQ,INE155C01010,,,,,1,0.05,,,1,1,ALBERTDAVD-EQ,0
NSE,1412,AGI,NSE-AGI,AGI Greenpac,EQ,CASH,EQ,INE415A01038,,,,,1,0.05,,,1,1,AGI-EQ,1
NSE,13620,ANANTRAJ,NSE-ANANTRAJ,Anant Raj,EQ,CASH,EQ,INE242C01024,,,,,1,0.05,,,1,1,ANANTRAJ-EQ,1
NSE,14398,AMDIND,NSE-AMDIND,AMD Industries,EQ,CASH,EQ,INE005I01014,,,,,1,0.01,,,1,1,AMDIND-EQ,0
NSE,2176,AKG,NSE-AKG,AKG Exim,EQ,CASH,EQ,INE00Y801016,,,,,1,0.01,,,1,1,AKG-EQ,0
NSE,758909,AMANTA,NSE-AMANTA,Amanta Healthcare,EQ,CASH,EQ,INE084K01015,,,,,1,0.01,,,1,1,AMANTA-EQ,1
NSE,11496,AMBICAAGAR,NSE-AMBICAAGAR,Ambica Agarbathies,EQ,CASH,EQ,INE792B01012,,,,,1,0.01,,,1,1,AMBICAAGAR-EQ,0
NSE,762543,AMBALALSA,NSE-AMBALALSA,Ambalal Sarabhai Ent,EQ,CASH,EQ,INE432A01017,,,,,1,0.01,,,1,1,AMBALALSA-EQ,0
NSE,17307,AJMERA,NSE-AJMERA,Ajmera Realty,EQ,CASH,EQ,INE298G01035,,,,,1,0.01,,,1,1,AJMERA-EQ,1
NSE,23553,AIIL,NSE-AIIL,Authum Invstmnt,EQ,CASH,EQ,INE206F01022,,,,,1,0.05,,,1,1,AIIL-EQ,1
NSE,758448,ALLTIME,NSE-ALLTIME,All Time Plastics,EQ,CASH,EQ,INE0GV601021,,,,,1,0.01,,,1,1,ALLTIME-EQ,1
NSE,13086,AIAENG,NSE-AIAENG,AIA Engineering,EQ,CASH,EQ,INE212H01026,,,,,1,0.1,,,1,1,AIAENG-EQ,1
NSE,166,ANDHRAPAP,NSE-ANDHRAPAP,Andhra Paper,EQ,CASH,EQ,INE435A01051,,,,,1,0.01,,,1,1,ANDHRAPAP-EQ,0
