SERIAL.NO.,STOCK NAME,SYMBOL,FIXED SYMBOL,PERCENT CHANGE,CMP,VOLUME,52W HIGH ,NEAR 52W HIGH ,52W HIGH DATE ,DATE DIFF,CHART ,200 DMA ,230 SMA(Nearly 200 EMA),SETUP 1,SETUP 2,SETUP 3, Work On Progress.... 1, Work On Progress.... 2
155,Kec International Limited,NSE:KEC,NSE:KEC,0.75,863.45,52218,1313.25,,2024-12-04,307,,850.90725,878.3286957,HOT Demand Zone,Demand Zone,Blast Setup,,
311,Glenmark Pharmaceuticals Limited,GLENMARK,NSE:GLENMARK,-0.06,1970,144,2284.8,,2025-07-11,88,,1664.41225,1651.715435,,,Blast Setup,,
424,Jubilant Foodworks Limited,JUBLFOOD,NSE:JUBLFOOD,0.47,626.45,33906,796.75,,2025-01-06,274,,672.18825,666.9169565,HOT Demand Zone,,,,
616,Aaron Industries Ltd,AARON,NSE:AARON,0.16,185.19,126,258,,2025-08-25,43,,188.2354,183.9926957,HOT Demand Zone,Demand Zone,,,
354,Gillette India Limited,GILLETTE,NSE:GILLETTE,0.42,9460,650,11500,,2025-07-15,84,,9367.3695,9424.770435,HOT Demand Zone,Demand Zone,,,
347,Nahar Capital And Financial Services Limited,NAHARCAP,NSE:NAHARCAP,3.34,302.95,1,383.5,,2024-11-27,314,,285.13325,291.3082609,HOT Demand Zone,Demand Zone,,,🔥 Volume Breakout!
20,Industrial Investment Trust Limited,IITL,NSE:IITL,-0.81,200.43,0,444.95,,2024-12-03,308,,235.03095,255.1945217,,,,,
230,Waaree Energies Ltd,WAAREEENER,NSE:WAAREEENER,0,3439.1,3294,3865,,2025-09-12,25,,2785.04475,2801.771522,,,Blast Setup,,
35,Jsw Holdings Limited,JSWHL,NSE:JSWHL,-0.07,16150,201,27740,,2025-04-21,169,,19962.39575,19269.99674,,,Blast Setup,,
391,Tainwala Chemical And Plastic (i) Limited,TAINWALCHM,NSE:TAINWALCHM,2.07,210.99,119,335,,2024-11-11,330,,229.4246,237.9753478,,,,Possible Double Bottom Retest!,
15,Torrent Pharmaceuticals Limited,TORNTPHARM,NSE:TORNTPHARM,0.42,3540.8,46,3787.9,Alert Signal,2025-07-30,69,,3331.71075,3318.948261,HOT Demand Zone,Demand Zone,Blast Setup,Possible Double Bottom Retest!,
652,Sastasundar Ventures Limited,SASTASUNDR,NSE:SASTASUNDR,0.02,307.6,0,381.7,,2024-12-12,299,,278.6399,284.2705652,,,,,
292,Vardhman Holdings Limited,VHL,NSE:VHL,0,4000,108,5760,,2024-11-12,329,,0.0437,0.04869565217,,,Blast Setup,,
71,Bhartiya International Limited,BIL,NSE:BIL,0.02,824.2,0,984.75,,2025-07-23,76,,91.58295,91.58586957,,,,,
256,The Ruby Mills Limited,RUBYMILLS,NSE:RUBYMILLS,-0.4,226.8,6,323.95,,2024-12-12,299,,222.52465,226.3744348,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
481,Aditya Birla Money Limited,BIRLAMONEY,NSE:BIRLAMONEY,0.68,174.4,21,303.72,,2024-12-24,287,,180.9257,179.8603043,HOT Demand Zone,Demand Zone,,,
491,Sundaram Brake Linings Limited,SUNDRMBRAK,NSE:SUNDRMBRAK,-0.06,759.9,5,1440,,2024-12-30,281,,867.0045,865.3341304,,,Blast Setup,Possible Double Bottom Retest!,
435,The Grob Tea Company Limited,GROBTEA,NSE:GROBTEA,-0.19,1044,0,1514.7,,2024-10-10,362,,1036.92975,1048.69413,HOT Demand Zone,Demand Zone,Blast Setup,,
382,Mazda Limited,MAZDA,NSE:MAZDA,0.26,288.3,1241,428.88,,2025-01-28,252,,281.4711,279.829087,HOT Demand Zone,Demand Zone,,,
447,Diffusion Engineers Ltd,DIFFNKG,NSE:DIFFNKG,1.09,385.95,34093,489.96,,2024-10-22,350,,309.1216,311.5750435,,,Blast Setup,,
247,Eclerx Services Limited,ECLERX,NSE:ECLERX,0.77,4015.2,2109,4640,,2025-08-26,42,,3393.55575,3390.362609,,,Blast Setup,,
75,Strides Shasun Limited,STAR,NSE:STAR,-22.5,834.9,4608,972,,2024-10-17,355,,0.1122222222,0.1122222222,,,Blast Setup,,
76,MMP Industries Ltd,MMP,NSE:MMP,0,283.95,0,390.9,,2024-10-21,351,,2945.613636,2945.613636,,,Blast Setup,,
81,Bharat Electronics Limited,BEL,NSE:BEL,0,413.25,341412,436,Alert Signal,2025-07-01,98,,0.01244680851,0.01244680851,,,Blast Setup,,
523,The United Nilgiri Tea Estates Company Limited,UNITEDTEA,NSE:UNITEDTEA,0,464,0,619,,2025-01-01,279,,450.7535,453.0215217,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
108,Multi Commodity Exchange Of India Limited,MCX,NSE:MCX,-0.44,8260,7868,9115,Alert Signal,2025-07-01,98,,20853.45765,20831.86013,,,,,
201,Nuvoco Vistas Corporation Ltd,NUVOCO,NSE:NUVOCO,0.39,423.25,2134,477.5,,2025-09-04,33,,366.937,364.8863043,,,,,
46,Shankara Building Products,SHANKARA,NSE:SHANKARA,-5,160.77,1103,287.93,,2025-07-31,68,,771.0826,750.5872609,,,,,
67,Max Financial Services Limited,NSE:MFSL,NSE:MFSL,-0.31,1603.9,12797,1674.8,Alert Signal,2025-08-18,50,,1339.8465,1320.18087,,,Blast Setup,,
583,Vidhi Specialty Food Ingredients,VIDHIING,NSE:VIDHIING,-0.6,345,30,569.15,,2024-12-16,295,,435.64525,442.3202174,,,,,🔥 Volume Breakout!
369,Raymond Limited,RAYMOND,NSE:RAYMOND,0.16,582.2,477,783.9,,2024-12-11,300,,1068.70425,1141.621957,,,,,
54,Bannari Amman Sugars Limited,BANARISUG,NSE:BANARISUG,-1.46,3340,70,4444,,2025-05-16,144,,3758.1905,3730.662826,,,,,🔥 Volume Breakout!
649,Sil Investments Limited,SILINV,NSE:SILINV,0.12,634.85,58,910,,2024-10-22,350,,590.48025,603.5154348,HOT Demand Zone,Demand Zone,,,
200,Indo Count Industries Limited,ICIL,NSE:ICIL,0.75,267.15,659,423.95,,2024-12-16,295,,291.71465,299.7101304,,,,,
14,Mahalaxmi Rubtech Ltd,MHLXMIRU,NSE:MHLXMIRU,0.04,219.3,0,325.8,,2024-12-16,295,,226.36605,218.2966522,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
33,Ram Ratna Wires Ltd,RAMRAT,NSE:RAMRAT,0.43,642.05,302,785.95,,2025-07-30,69,,609.303,607.8884783,HOT Demand Zone,Demand Zone,Blast Setup,,
295,Hester Biosciences Limited,HESTERBIO,NSE:HESTERBIO,0.46,1811.8,204,2786.1,,2024-11-08,333,,1889.19675,1969.90587,,Demand Zone,,,
525,Coforge (Niit Tech),COFORGE,NSE:COFORGE,0.48,1667.5,3794,2005.36,,2024-12-30,281,,1687.92685,1685.227739,HOT Demand Zone,Demand Zone,Blast Setup,,
429,Kabra Extrusion Technik Limited,KABRAEXTRU,NSE:KABRAEXTRU,-0.08,252.4,727,590,,2025-01-03,277,,330.61875,349.91,,,Blast Setup,,
436,UTI Asset Management Company Ltd,UTIAMC,NSE:UTIAMC,0.18,1317,935,1494.8,,2025-07-22,77,,1199.9685,1214.728478,,,,Possible Double Bottom Retest!,
337,Crisil Limited,CRISIL,NSE:CRISIL,0.66,4575.9,1781,6950,,2024-12-31,280,,5166.65175,5194.035,,,,,
338,Crisil Limited,CRISIL,NSE:CRISIL,0.66,4575.9,1781,6950,,2024-12-31,280,,5166.65175,5194.035,,,,,
36,Tata Consultancy Services Limited,NSE:TCS,NSE:TCS,-0.49,2975.9,13590,4494.9,,2024-12-13,298,,3508.49125,3603.45087,,,Blast Setup,,
21,Western India Plywoods Ltd,WIPL,NSE:WIPL,0.15,163,0,270,,2024-12-20,291,,175.7174,179.2207826,,,Blast Setup,,
22,Western India Plywoods Ltd,WIPL,NSE:WIPL,0.15,163,0,270,,2024-12-20,291,,175.7174,179.2207826,,,Blast Setup,,
567,Mangalam Cement Limited,MANGLMCEM,NSE:MANGLMCEM,0,757.3,100,1019,,2025-01-03,277,,789.37425,799.0952174,HOT Demand Zone,Demand Zone,Blast Setup,,
41,The Ramco Cements Limited,RAMCOCEM,NSE:RAMCOCEM,2.6,990.5,8245,1209,,2025-07-31,68,,989.64875,984.5021739,HOT Demand Zone,Demand Zone,,,🔥 Volume Breakout!
448,Iti Limited,ITI,NSE:ITI,1.59,320.4,119624,592.7,,2025-01-07,273,,306.63385,304.7853043,HOT Demand Zone,Demand Zone,,,🔥 Volume Breakout!
56,Jk Lakshmi Cement Limited,JKLAKSHMI,NSE:JKLAKSHMI,-0.06,859.2,78,1021.2,,2025-07-22,77,,843.932,836.5993478,HOT Demand Zone,Demand Zone,,,
648,Grp Limited,GRPLTD,NSE:GRPLTD,0.59,2167.1,36,3550,,2024-10-14,358,,2668.83525,2739.428913,,,,Possible Double Bottom Retest!,
590,Nahar Poly Films Limited,NAHARPOLY,NSE:NAHARPOLY,1.49,307.05,395,389.95,,2025-06-10,119,,269.8995,269.2824348,,,Blast Setup,,
57,Cyient Limited,CYIENT,NSE:CYIENT,0.2,1192.9,376,2112,,2024-12-11,300,,1348.10425,1419.338696,,,Blast Setup,,
213,PSP Projects,PSPPROJECT,NSE:PSPPROJECT,-0.35,779,384,843.45,Alert Signal,2025-07-17,82,,684.58925,677.9306522,,,Blast Setup,,
629,Khadim India Ltd,KHADIM,NSE:KHADIM,0.65,261.85,934,420.95,,2024-10-18,354,,292.79265,303.789913,,,,,
97,Bsl Limited,BSL,NSE:BSL,-1.25,162.02,0,331.85,,2024-12-23,288,,14.19655,14.23169565,,,Blast Setup,,
644,Ramco Systems Limited,RAMCOSYS,NSE:RAMCOSYS,0.06,509.45,12,564.8,Alert Signal,2025-09-19,18,,395.6045,400.9006522,,,,,
85,Ncc Limited,NCC,NSE:NCC,-0.95,210.41,50518,326.45,,2024-12-06,305,,143.958,145.353913,,,Blast Setup,,
151,Ambika Cotton Mills Limited,AMBIKCO,NSE:AMBIKCO,0,1413.6,10,1797,,2024-12-17,294,,1490.7475,1497.423261,HOT Demand Zone,Demand Zone,Blast Setup,,
105,Apollo Hospitals Enterprise Limited,APOLLOHOSP,NSE:APOLLOHOSP,0.16,7640,18228,7980,Alert Signal,2025-08-22,46,,7079.69025,7075.772609,,,Blast Setup,,
494,Bf Utilities Limited,BFUTILITIE,NSE:BFUTILITIE,-0.11,800,6517,1129.1,,2024-10-16,356,,783.416,802.7669565,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
345,Petronet Lng Limited,PETRONET,NSE:PETRONET,0.57,281.9,3130,361.8,,2024-10-07,365,,300.65375,304.6343478,,Demand Zone,Blast Setup,,
468,Signpost India Ltd,SIGNPOST,NSE:SIGNPOST,0.75,260.55,500,403.3,,2025-01-08,272,,263.644,265.3544348,HOT Demand Zone,Demand Zone,Blast Setup,,
504,Dodla Dairy Ltd,DODLA,NSE:DODLA,-0.1,1350.7,200,1525,,2025-07-15,84,,1231.23475,1229.453043,,,Blast Setup,,🔥 Volume Breakout!
328,Fortis Healthcare Limited,FORTIS,NSE:FORTIS,0,1035.45,14847,1060.1,Alert Signal,2025-10-06,1,,749.10875,738.1247826,,,Blast Setup,,🔥 Volume Breakout!
98,Infosys Limited,INFY,NSE:INFY,2.83,1481.3,380358,2006.45,,2024-12-13,298,,18.7331,19.19791304,,,Blast Setup,,
39,Interglobe Aviation Limited,INDIGO,NSE:INDIGO,-0.34,5660,19959,6232.5,Alert Signal,2025-08-18,50,,5199.01925,5066.077391,,,Blast Setup,Possible Double Bottom Retest!,
378,Amrutanjan Health Care Limited,AMRUTANJAN,NSE:AMRUTANJAN,-1,715.05,16,842.9,,2025-01-13,267,,690.1345,694.6813043,HOT Demand Zone,Demand Zone,,,
547,Eureka Forbes Ltd,EUREKAFORB,NSE:EUREKAFORB,0.65,560.5,23,655.5,,2025-05-30,130,,557.49525,562.1978261,HOT Demand Zone,Demand Zone,Blast Setup,,
231,Procter & Gamble Health Ltd,NSE:PGHL,NSE:PGHL,-0.26,6195,12,6739,Alert Signal,2025-08-29,39,,5627.36475,5593.148043,,,,,🔥 Volume Breakout!
384,Ramkrishna Forgings Limited,RKFORGE,NSE:RKFORGE,-1.01,554.75,29272,1064.05,,2024-10-15,357,,685.613,720.4758696,,,,,
360,Medicamen Biotech Ltd,MEDICAMEQ,NSE:MEDICAMEQ,0.21,304,0,630,,2024-12-06,305,,431.99,441.1893478,,,,,
148,Bhagiradha Chemicals & Industries Ltd,BHAGCHEM,NSE:BHAGCHEM,-0.85,264,237,374,,2024-10-16,356,,291.49975,297.5978261,,,,,
397,Nazara Technologies Ltd,NAZARA,NSE:NAZARA,0,278.8,3942,363.25,,2025-08-13,55,,280.3199,275.1443478,HOT Demand Zone,Demand Zone,,,
206,Shree Cements Limited,SHREECEM,NSE:SHREECEM,0.46,29370,22,32490,Alert Signal,2025-07-22,77,,29227.0455,28747.8937,HOT Demand Zone,Demand Zone,Blast Setup,Possible Double Bottom Retest!,
303,Vijaya Diagnostic Centre Ltd,VIJAYA,NSE:VIJAYA,1.55,1009.3,15419,1275,,2025-01-13,267,,1024.126,1032.14087,HOT Demand Zone,Demand Zone,,,
211,V2 Retail Limited,V2RETAIL,NSE:V2RETAIL,0.72,2320.4,330,2350,Alert Signal,2025-10-06,1,,1778.04075,1710.545435,,,Blast Setup,,
550,Swelect Energy Systems Limited,SWELECTES,NSE:SWELECTES,-0.3,914.65,63,1278.8,,2024-11-06,335,,700.95275,752.0676087,,,Blast Setup,,
534,Gm Breweries Limited,GMBREW,NSE:GMBREW,0.33,738.55,119,885.25,,2024-10-09,363,,708.48975,720.3747826,HOT Demand Zone,Demand Zone,Blast Setup,Double Bottom Found!,
578,Shreyas Shipping & Logistics Ltd,TRANSWORLD,NSE:TRANSWORLD,0,249,97,492,,2024-12-12,299,,295.0751,309.7974783,,,,,
128,The Phoenix Mills Limited,PHOENIXLTD,NSE:PHOENIXLTD,0.34,1597.6,945,1902,,2024-12-10,301,,1575.87525,1582.475217,HOT Demand Zone,Demand Zone,Blast Setup,,
172,Shree Vasu Logistics Ltd,SVLL,NSE:SVLL,0,787.95,0,855.7,Alert Signal,2025-06-10,119,,589.098,553.5723913,,,,Possible Double Bottom Retest!,
226,Jindal Worldwide Limited,JINDWORLD,NSE:JINDWORLD,0,35.19,29484,94.24,,2025-01-08,272,,59.5688,60.50486957,,,,Possible Double Bottom Retest!,
221,Godrej Properties Limited,GODREJPROP,NSE:GODREJPROP,-0.14,2055,509,3239.65,,2024-10-17,355,,2208.38375,2286.565217,,,Blast Setup,,
669,Swiggy Ltd,SWIGGY,NSE:SWIGGY,0.11,422.55,414708,617.3,,2024-12-23,288,,397.329,404.8995455,HOT Demand Zone,Demand Zone,Blast Setup,,
288,Centum Electronics Limited,CENTUM,NSE:CENTUM,-0.1,2609.9,1181,3044,,2025-09-05,32,,2079.222,2026.53413,,,Blast Setup,,
178,Indian Card Clothing Company Limited,INDIANCARD,NSE:INDIANCARD,0.89,259,4,452.2,,2024-12-18,293,,293.19525,291.1476087,,,,,
173,Thomas Scott (india) Limited,THOMASCOTT,NSE:THOMASCOTT,0.35,345.25,0,509,,2024-12-26,285,,360.12685,343.9502609,HOT Demand Zone,Demand Zone,,,
174,Thomas Scott (india) Limited,THOMASCOTT,NSE:THOMASCOTT,0.35,345.25,0,509,,2024-12-26,285,,360.12685,343.9502609,HOT Demand Zone,Demand Zone,,,
175,Panache Digilife Ltd,PANACHE,NSE:PANACHE,-1.44,444,1100,452.05,Alert Signal,2025-10-06,1,,258.32405,252.737087,,,Blast Setup,,
176,Panache Digilife Ltd,PANACHE,NSE:PANACHE,-1.44,444,1100,452.05,Alert Signal,2025-10-06,1,,258.32405,252.737087,,,Blast Setup,,
180,Power & Instrumentation (Gujarat) Ltd,PIGL,NSE:PIGL,0.63,172,1782,417,,2025-01-10,270,,193.4018,205.1013043,,,Blast Setup,,
503,Sri Adhikari Brothers Television Network Ltd,SABTNL,NSE:SABTNL,2.34,900,71,2219.95,,2024-12-10,301,,842.73,960.746087,HOT Demand Zone,Demand Zone,,,
330,Mallcom (India) Ltd,MALLCOM,NSE:MALLCOM,-0.83,1301.1,10,1785,,2024-12-27,284,,1277.704,1309.582826,HOT Demand Zone,Demand Zone,Blast Setup,,
331,Mallcom (India) Ltd,MALLCOM,NSE:MALLCOM,-0.83,1301.1,10,1785,,2024-12-27,284,,1277.704,1309.582826,HOT Demand Zone,Demand Zone,Blast Setup,,
228,Marathon Nextgen Realty Limited,MARATHON,NSE:MARATHON,0.22,603.8,465,769.45,,2025-07-17,82,,576.185,578.3847826,HOT Demand Zone,Demand Zone,Blast Setup,Possible Double Bottom Retest!,
305,Aegis Logistics Ltd,AEGISLOG,NSE:AEGISLOG,-0.14,833.1,79906,1037,,2025-01-08,272,,770.81625,776.0136957,HOT Demand Zone,,,,
639,Ashiana Housing Limited,ASHIANA,NSE:ASHIANA,0.94,298.45,1534,395.7,,2025-01-08,272,,314.7275,314.6565217,HOT Demand Zone,Demand Zone,,,
352,Nahar Spinning Mills Limited,NAHARSPING,NSE:NAHARSPING,-0.11,207.25,0,316,,2024-12-17,294,,239.94965,243.0836087,,,,,
129,Geecee Ventures Limited,GEECEE,NSE:GEECEE,1.24,351.35,0,467.7,,2024-12-03,308,,389.63275,393.0282609,,,Blast Setup,,
223,KFin Technologies Ltd,KFINTECH,NSE:KFINTECH,0.49,1067.7,20623,1641.35,,2024-12-30,281,,1142.848,1138.43413,HOT Demand Zone,,,,
224,KFin Technologies Ltd,KFINTECH,NSE:KFINTECH,0.49,1067.7,20623,1641.35,,2024-12-30,281,,1142.848,1138.43413,HOT Demand Zone,,,,
165,Itd Cementation India Limited,ITDCEM,NSE:ITDCEM,No Data,#N/A,#N/A,#N/A,#N/A,No Data,#VALUE!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
166,Jayant Agro Organics Limited,JAYAGROGN,NSE:JAYAGROGN,0.55,238,50,324.7,,2024-12-05,306,,253.2235,257.8073913,,Demand Zone,,,
684,Selan Exploration Technology Limited,SELAN,NSE:SELAN,No Data,#N/A,#N/A,#N/A,#N/A,No Data,#VALUE!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
241,Max Healthcare Institute Ltd,MAXHEALTH,NSE:MAXHEALTH,-1.1,1122.1,195883,1314.3,,2025-07-04,95,,1147.049,1133.633043,HOT Demand Zone,Demand Zone,Blast Setup,,
6,Startech Finance Ltd,STARTECK,NSE:STARTECK,-0.55,312.9,122,364.5,,2024-12-11,300,,300.804,297.8308696,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,🔥 Volume Breakout!
58,Sheela Foam Limited,NSE:SFL,NSE:SFL,0.45,675.65,249,1058.7,,2025-01-03,277,,743.39825,757.2797826,,,,,
414,Zenith Exports Limited,ZENITHEXPO,NSE:ZENITHEXPO,-0.36,245.95,0,360.7,,2025-02-14,235,,252.16705,256.6206957,HOT Demand Zone,Demand Zone,Blast Setup,,
24,Robust Hotels Pvt Ltd,RHL,NSE:RHL,-0.73,244.2,0,314,,2025-07-10,89,,247.0938,242.272913,HOT Demand Zone,Demand Zone,,,
483,Aym Syntex Limited,AYMSYNTEX,NSE:AYMSYNTEX,-0.26,189.02,0,326.11,,2024-12-12,299,,219.62455,224.0553043,,,,Possible Double Bottom Retest!,
186,ICICI Lombard General Insurance Company Ltd,ICICIGI,NSE:ICICIGI,0,1924.7,5527,2165.8,,2024-10-07,365,,1862.97,1867.423043,HOT Demand Zone,Demand Zone,,,
156,Muthoot Finance Limited,MUTHOOTFIN,NSE:MUTHOOTFIN,-0.05,3226,912,3235,,2025-10-06,1,,2417.98525,2352.795217,,,Blast Setup,,
157,Muthoot Finance Limited,MUTHOOTFIN,NSE:MUTHOOTFIN,-0.05,3226,912,3235,,2025-10-06,1,,2417.98525,2352.795217,,,Blast Setup,,
