SERIAL.NO.,STOCK NAME,SYMBOL,FIXED SYMBOL,PERCENT CHANGE,CMP,VOLUME,52W HIGH ,NEAR 52W HIGH ,52W HIGH DATE ,DATE DIFF,CHART ,200 DMA ,230 SMA(Nearly 200 EMA),SETUP 1,SETUP 2,SETUP 3, Work On Progress.... 1, Work On Progress.... 2
204,Dr. Reddy's Laboratories Limited,DRREDDY,NSE:DRREDDY,0.23,1250.3,722,1405.9,,2025-01-08,272,,1243.9875,1243.342174,HOT Demand Zone,Demand Zone,Blast Setup,Possible Double Bottom Retest!,
584,AWFIS Space Solutions Ltd,AWFIS,NSE:AWFIS,0.13,589,136,810,,2024-11-12,329,,640.93125,651.3215217,,,,,
60,Max India Ltd,MAXIND,NSE:MAXIND,0.04,212.16,5,302.92,,2024-12-12,299,,207.7461,212.9662174,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
111,Maharashtra Scooters Limited,MAHSCOOTER,NSE:MAHSCOOTER,-0.6,16650,39,18538,,2025-09-15,22,,12613.117,12247.41826,,,Blast Setup,,
332,Vedant Fashions Ltd,MANYAVAR,NSE:MANYAVAR,-0.28,693.8,1718,1512,,2024-12-02,309,,855.48025,923.1782609,,,Blast Setup,,
217,Maithan Alloys Limited,MAITHANALL,NSE:MAITHANALL,0.9,1162,617,1264,Alert Signal,2025-06-10,119,,1048.28575,1053.173043,,,,,
390,Antony Waste Handling Cell Ltd,AWHCL,NSE:AWHCL,-0.53,542.3,4051,859.4,,2024-11-06,335,,584.36375,597.6047826,,,,,
655,Afcons Infrastructure Ltd,AFCONS,NSE:AFCONS,0.09,449.15,17185,570,,2025-01-03,277,,450.35725,456.4712719,HOT Demand Zone,Demand Zone,,,
235,Healthcare Global Enterprises Limited,NSE:HCG,NSE:HCG,-1.16,651.1,8553,708,Alert Signal,2025-09-03,34,,562.76875,552.1623913,,,Blast Setup,,
255,Borosil Ltd,BOROLTD,NSE:BOROLTD,0.4,346.8,95,515.9,,2024-11-06,335,,351.2715,364.8343478,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
454,Tembo Global Industries Ltd,TEMBO,NSE:TEMBO,-0.02,575.55,4,905,,2025-01-03,277,,571.22175,587.0413043,HOT Demand Zone,Demand Zone,,,
327,Century Plyboards (india) Limited,CENTURYPLY,NSE:CENTURYPLY,0.2,814.9,1868,925,,2024-10-11,361,,756.72525,759.9558696,HOT Demand Zone,,Blast Setup,,
526,Angel One Ltd,ANGELONE,NSE:ANGELONE,-0.55,2271.5,1434,3503.15,,2024-12-09,302,,2542.1475,2596.322174,,,Blast Setup,,
84,Indian Bank,INDIANB,NSE:INDIANB,0.25,760,68576,773.6,Alert Signal,2025-10-06,1,,592.9715,589.8997826,,,,,
244,Dr. Lal Path Labs Ltd.,LALPATHLAB,NSE:LALPATHLAB,0.36,3159.2,3964,3653.95,,2024-10-10,362,,2894.9425,2914.501087,,,Blast Setup,Possible Double Bottom Retest!,
422,Radico Khaitan Limited,RADICO,NSE:RADICO,-0.04,2951.7,2741,3067,Alert Signal,2025-09-19,18,,2533.5615,2510.107609,,,,,
245,Monarch Networth Capital Ltd,MONARCH,NSE:MONARCH,0.33,319.85,1111,495,,2024-11-07,334,,351.916,361.935,,,Blast Setup,,
368,Graphite India Limited,GRAPHITE,NSE:GRAPHITE,0.77,571.9,39951,614.4,Alert Signal,2024-12-04,307,,513.00925,513.9667391,,,Blast Setup,,
672,SRG Housing Finance Ltd,SRGHFL,NSE:SRGHFL,2.49,303.05,39,414,,2025-01-03,277,,320.59975,323.4697826,HOT Demand Zone,Demand Zone,,,
68,Tips Films Ltd,TIPSFILMS,NSE:TIPSFILMS,0.68,446,0,718,,2024-12-27,284,,530.362,529.1569565,,,,,
320,Esab India Limited,ESABINDIA,NSE:ESABINDIA,0.4,4943,7,6799,,2024-10-14,358,,5082.34375,5220.003478,HOT Demand Zone,Demand Zone,,,
538,Kddl Limited,KDDL,NSE:KDDL,-0.04,2673.7,2,3351,,2025-03-26,195,,2703.333,2713.798913,HOT Demand Zone,Demand Zone,,,
253,Metropolis Healthcare Ltd,METROPOLIS,NSE:METROPOLIS,3.48,2094.8,6589,2318.3,Alert Signal,2024-10-10,362,,1844.48525,1881.052391,,,Blast Setup,,🔥 Volume Breakout!
107,Varroc Engineering Ltd,VARROC,NSE:VARROC,0.47,612.35,2146,664.15,Alert Signal,2025-09-23,14,,529.0345,528.8519565,,,,Possible Double Bottom Retest!,
314,Medi Assist Healthcare Services Ltd,MEDIASSIST,NSE:MEDIASSIST,-0.23,536,547,689.25,,2024-10-14,358,,515.1415,525.9067391,HOT Demand Zone,Demand Zone,Blast Setup,Possible Double Bottom Retest!,
287,Uno Minda Ltd,UNOMINDA,NSE:UNOMINDA,-0.52,1335.9,1876,1348.3,,2025-09-22,15,,1043.5235,1041.113043,,,Blast Setup,,
656,Liberty Shoes Limited,LIBERTSHOE,NSE:LIBERTSHOE,0.57,337.75,838,569.6,,2024-10-18,354,,385.67575,399.7602174,,,,Possible Double Bottom Retest!,
488,E2E Networks Ltd,E2E,NSE:E2E,0,3894.7,4557,5487.65,,2024-11-07,334,#N/A,3.169240506,3.169240506,,,Blast Setup,,
635,S. P. Apparels Limited,SPAL,NSE:SPAL,-0.28,712,10,995,,2024-12-16,295,,800.45725,812.9573913,,,,,
99,Bajaj Holdings & Investment Limited,BAJAJHLDNG,NSE:BAJAJHLDNG,0.66,11867,961,14763,,2025-08-18,50,,12588.69525,12336.00326,HOT Demand Zone,Demand Zone,,,
358,Monte Carlo Fashions Limited,MONTECARLO,NSE:MONTECARLO,-0.5,671.15,1844,986,,2024-12-10,301,,625.13825,652.3923913,HOT Demand Zone,Demand Zone,,,
49,United Drilling Tools Ltd,UNIDT,NSE:UNIDT,-0.3,194.25,57,294.9,,2024-12-12,299,,222.9788,226.310087,,,,,🔥 Volume Breakout!
239,Orchid Pharma Ltd,ORCHPHARMA,NSE:ORCHPHARMA,1,737.1,17,1997.4,,2025-01-03,277,,948.6695,1028.857826,,,,,
286,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,NSE:CHAMBLFERT,0.21,516.5,22413,742.2,,2025-05-06,154,,561.0615,552.8928261,,,Blast Setup,,
282,Syngene International Limited,SYNGENE,NSE:SYNGENE,-0.11,634.5,11530,960.6,,2024-12-02,309,,696.91175,722.0747826,,,,,
277,ASK Automotive Ltd,ASKAUTOLTD,NSE:ASKAUTOLTD,0.18,516,175,578.5,,2025-09-24,13,,464.92925,463.1047826,,,,,
215,Blue Star Limited,BLUESTARCO,NSE:BLUESTARCO,-0.16,1895,2170,2417,,2025-01-06,274,,1869.2035,1871.421304,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
364,Sonata Software Limited,SONATSOFTW,NSE:SONATSOFTW,0.48,355.7,36232,687.1,,2024-12-12,299,,426.20375,450.6815217,,,Blast Setup,,
61,Chembond Chemicals Ltd,CHEMBOND,NSE:CHEMBOND,2.34,183,1,398.11,,2024-12-24,287,,378.2464,403.1786087,,,,,🔥 Volume Breakout!
374,Sukhjit Starch & Chemicals Ltd,SUKHJITS,NSE:SUKHJITS,0.1,164.19,0,323,,2024-12-10,301,,201.63835,210.7830435,,,,,
279,Shivalik Rasayan Ltd,SHIVALIK,NSE:SHIVALIK,-0.1,432,0,879.05,,2025-02-06,243,,605.5385,607.4386957,,,,,
260,Varun Beverages Limited,VBL,NSE:VBL,-0.18,438.5,14931,663.6,,2025-01-02,278,,511.6365,525.0147826,,,,,
11,Sumitomo Chemical India Ltd,SUMICHEM,NSE:SUMICHEM,0.37,540.3,664,665,,2025-08-04,64,,533.61925,534.6354348,HOT Demand Zone,Demand Zone,Blast Setup,,
159,India Motor Parts And Accessories Limited,IMPAL,NSE:IMPAL,0.01,1092.5,0,1357.45,,2024-10-14,358,,1062.70975,1078.177609,HOT Demand Zone,Demand Zone,,,
